GENUS;SPECIES;ORDER;FAMILY;DUPLICATE;PERIOD;EARLIEST;MAX_DATE;LATEST;MIN_DATE;MID POINT;LAZARUS;COLLECTION;FORMATION;CONTINENT 1;CONTINENT 2;CONTINENT 3;CONTINENT 4;CONTINENT 5;HEMISPHERE;BA_0;BA_1;BA_2;BA_3;BA_4;BA_5;BA_6;SCALE_ONLY;FINSPINE_ONLY;TOOTH_ONLY
Acanthodes;beecheri;Acanthodiiformes;Acanthodidae;N;Carboniferous;Moscovian;315,2;Moscovian;307;311,1;N;Pit 11, Peabody Coal Company;Carbondale;North America;X;X;X;;N;0;1;0;0;0;0;0;N;N;NA
Acanthodes;beecheri;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Moscovian;315,2;Moscovian;307;311,1;N;NW 1/4 NE 1/4 Sec. 6;Carbondale;North America;X;X;X;;N;0;1;0;0;0;0;0;N;N;NA
Acanthodes;bridgei;Acanthodiiformes;Acanthodidae;N;Carboniferous;Gzhelian;303,7;Gzhelian;298,9;301,3;N;Greenwood county;Topeka limestone;North America;X;X;X;;N;0;1;0;0;0;0;0;N;N;NA
Acanthodes;bridgei;Acanthodiiformes;Acanthodidae;Y;Carboniferous;Gzhelian;303,7;Gzhelian;298,9;301,3;N;Hamilton;Topeka limestone;North America;X;X;X;;N;0;1;0;0;0;0;0;N;N;NA
Acanthodes;bronni;Acanthodiiformes;Acanthodidae;N;C - P;Gzhelian;303,7;Asselian;293,52;298,61;N;Berschweiler;Meisenheim;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodes;confusus;Acanthodiiformes;Acanthodidae;N;C - P;Gzhelian;303,7;Asselian;293,52;298,61;N;Lebach;Meisenheim;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodes;confusus;Acanthodiiformes;Acanthodidae;Y;C - P;Gzhelian;303,7;Asselian;293,52;298,61;N;Kreimbach-Kaulbach;Meisenheim;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodes;confusus;Acanthodiiformes;Acanthodidae;Y;C - P;Gzhelian;303,7;Asselian;293,52;298,61;N;Rudnik v Krkonosich;Vrchlabí;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodes;gracilis;Acanthodiiformes;Acanthodidae;N;Permian;Asselian;298,9;Asselian;293,52;296,21;N;Wolbromow;Rotliegend;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
Acanthodes;gracilis;Acanthodiiformes;Acanthodidae;Y;Permian;Asselian;298,9;Asselian;293,52;296,21;N;Mecinka;Rotliegend;Europe;X;X;X;;N;1;0;0;0;0;0;0;N;N;NA
