GENUS,SPECIES,ORDER,FAMILY,SUBCLASS,GROUP_GINTER,GROUP_GINTER2,TOOTH_PLATE,DUPLICATE,PERIOD,EARLIEST,MAX_DATE,LATEST,MIN_DATE,MID POINT,LAZARUS,COLLECTION,FORMATION,Latitude,Longitude,CONTINENT,HEMISPHERE,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,SCALE_ONLY,FINSPINE_ONLY,TOOTH_ONLY
Tezakia,hardingensis,Altholepidiformes,Altholepididae,Stem,NA,?,NA,N,Ordovician,Sandbian,458.4,Sandbian,453,455.7,N,Harding Quarry,Harding Sandstone,38.5,-105.3,North America,N,0,1,1,0,0,0,0,Y,N,N
Tezakia,hardingensis,Altholepidiformes,Altholepididae,Stem,NA,?,NA,Y,Ordovician,Sandbian,458.4,Sandbian,453,455.7,N,Shell Pine Unit No 1,Winnipeg,47,-104.2,North America,N,0,1,1,0,0,0,0,Y,N,N
?Wellerodus,sp.,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Frasnian,382.7,Frasnian,372.2,377.45,N,Laskowa Quarry,Manticoceras Limestone,50.5,20.4,Europe,N,0,0,0,1,1,0,0,N,N,Y
Antarctilamna,cf. prisca,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Givetian,387.7,Givetian,382.7,385.2,N,Cook Mountains,Aztec Siltstone,-79.4,158,Antarctica,S,1,0,0,0,0,0,0,N,N,Y
Antarctilamna,cf. prisca,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,Y,Devonian,Givetian,387.7,Givetian,382.7,385.2,N,Mt Ritchie,Aztec Siltstone,-78.5,158.4,Antarctica,S,1,0,0,0,0,0,0,N,N,Y
Antarctilamna,cf. prisca,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,Y,Devonian,Givetian,387.7,Givetian,382.7,385.2,N,Lashly Range,Aztec Siltstone,-77.9,159.6,Antarctica,S,1,0,0,0,0,0,0,N,N,Y
Antarctilamna,prisca,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Emsian,407.6,Givetian,382.7,395.15,N,Lashly Range,Aztec Siltstone,-77.9,159.6,,S,1,0,0,0,0,0,0,N,N,N
Antarctilamna,prisca,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,Y,Devonian,Emsian,407.6,Givetian,382.7,395.15,N,Portal Mountain,Aztec Siltstone,-78.2,159.1,,S,1,0,0,0,0,0,0,N,N,N
Antarctilamna,prisca,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,Y,Devonian,Emsian,407.6,Givetian,382.7,395.15,N,Bunga Beach,Bunga Beds,-36.5,150.1,Australia and Oceania,S,1,0,0,0,0,0,0,N,N,N
Antarctilamna,seriponensis,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Lochkovian,419.2,Emsian,393.3,406.25,N,Seripona village,Catavi,-18.5,-64.8,South America,S,0,1,0,0,0,0,0,N,Y,N
Antarctilamna,sp.,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Eifelian,393.3,Givetian,382.7,388,N,Adhiriyah,Jubah Sandstone,30.2,40.1,Asia,N,1,0,0,0,0,0,0,N,N,Y
Antarctilamna,ultima,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Famennian,372.2,Famennian,358.9,365.55,N,Waterloo Farm,Witpoort,-33.3,26.5,Africa,S,0,1,0,0,0,0,0,N,N,N
Antarctilamna?,sp.,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Emsian,407.6,Emsian,393.3,400.45,Y,La Paz area,Belén and Icla,-15.5,-68,Europe,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y
Antarctilamna?,sp.,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Givetian,387.7,Givetian,382.7,385.2,Y,Renanué village,Renanué section,42.4,0.8,South America,S,0,0,1,1,0,0,0,N,Y,N
Wellerodus,priscus,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Eifelian,393.3,Frasnian,372.2,382.75,N,Cairo quarry,,42.3,-74,North America,N,1,1,0,0,1,1,0,N,N,N
Wellerodus,priscus,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Eifelian,393.3,Frasnian,372.2,382.75,N,Eighteen Mile Creek,North Evans Limestone,42.7,-78.9,North America,N,1,1,0,0,1,1,0,N,N,N
Wellerodus,priscus,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Eifelian,393.3,Frasnian,372.2,382.75,N,Elmhurst,,41.9,-87.9,North America,N,1,1,0,0,1,1,0,N,N,N
Coronodus,reimanni,Antarctilamniformes,Coronodontidae,Stem,NA,Elasmobranchii,N,N,Devonian,Givetian,387.7,Frasnian,372.2,379.95,N,Athol Springs,Genesee,42.8,-78.9,North America,N,0,0,0,0,0,1,1,N,N,Y
Barbclabornia,luedersensis,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,N,Permian,Asselian,298.9,Artinskian,283.5,291.2,N,Baylor Co.,Lueders,33.6,-99.2,North America,N,1,1,0,0,0,0,0,N,N,Y
Barbclabornia,luedersensis,Bransonelliformes,Incertae familiae,Elasmobranchii,Xenacanthimorpha,Elasmobranchii,N,Y,Permian,Asselian,298.9,Artinskian,283.5,291.2,N,Wolf Creek,Lueders,33.4,-99.4,North America,N,1,1,0,0,0,0,0,N,N,Y
