interval_name;interval_name_abb;MAX_DATE;MIN_DATE;MID.POINT
Rhuddanian;Rh;443,8;440,8;442,3
Aeronian;Ae;440,8;438,5;439,65
Telychian;Te;438,5;433,4;435,95
Sheinwoodian;Sh;433,4;430,5;431,95
Homerian;Ho;430,5;427,4;428,95
Gorstian;Go;427,4;425,6;426,5
Ludfordian;Lu;425,6;423;424,3
Pridoli;Pr;423;419,2;421,1
Lochkovian;Lo;419,2;410,8;415
Pragian;Pra;410,8;407,6;409,2
Emsian;Em;407,6;393,3;400,45
Eifelian;Ei;393,3;387,7;390,5
Givetian;Gi;387,7;382,7;385,2
Frasnian;Fra;382,7;372,2;377,45
Famennian;Fam;372,2;358,9;365,55
Tournaisian;To;358,9;346,7;352,8
Visean;Vi;346,7;330,9;338,8
Serpukhovian;Se;330,9;323,2;327,05
Bashkirian;Ba;323,2;315,2;319,2
Moscovian;Mo;315,2;307;311,1
Kasimovian;Ka;307;303,7;305,35
Gzhelian;Gz;303,7;298,9;301,3
Asselian;As;298,9;293,52;296,21
Sakmarian;Sa;293,52;290,1;291,81
Artinskian;Ar;290,1;283,5;286,8
Kungurian;Ku;283,5;273,01;278,255
Roadian;Ro;273,01;266,9;269,955
Wordian;Wo;266,9;264,28;265,59
Capitanian;Ca;264,28;259,51;261,895
Wuchiapingian;Wu;259,51;254,14;256,825
Changhsingian;Cha;254,14;252;253,021
