interval_name;MAX_DATE;MIN_DATE;MID.POINT
Rh;443,8;440,8;442,3
Ae;440,8;438,5;439,65
Te;438,5;433,4;435,95
Sh;433,4;430,5;431,95
Ho;430,5;427,4;428,95
Go;427,4;425,6;426,5
Lu;425,6;423;424,3
Pr;423;419,2;421,1
Lo;419,2;410,8;415
Pra;410,8;407,6;409,2
Em;407,6;393,3;400,45
Ei;393,3;387,7;390,5
Gi;387,7;382,7;385,2
Fra;382,7;372,2;377,45
Fam;372,2;358,9;365,55
To;358,9;346,7;352,8
Vi;346,7;330,9;338,8
Se;330,9;323,2;327,05
Ba;323,2;315,2;319,2
Mo;315,2;307;311,1
Ka;307;303,7;305,35
Gz;303,7;298,9;301,3
As;298,9;293,52;296,21
Sa;293,52;290,1;291,81
Ar;290,1;283,5;286,8
Ku;283,5;273,01;278,255
Ro;273,01;266,9;269,955
Wo;266,9;264,28;265,59
Ca;264,28;259,51;261,895
Wu;259,51;254,14;256,825
Cha;254,14;252;253,021
