COLLECTION,Longitude,Latitude,MID.POINT,GENUS,SPECIES,ORDER,FAMILY,SUBCLASS,GROUP_GINTER,GROUP_GINTER2,TOOTH_PLATE,DUPLICATE,PERIOD,EARLIEST,MAX_DATE,LATEST,MIN_DATE,LAZARUS,FORMATION,CONTINENT.1,CONTINENT.2,CONTINENT.3,CONTINENT.4,CONTINENT.5,HEMISPHERE,BA_0,BA_1,BA_2,BA_3,BA_4,BA_5,BA_6,SCALE_ONLY,FINSPINE_ONLY,TOOTH_ONLY,plng,plat
Abden,-3.2,56.1,334.95,Tristychius,sp.,Incerti ordinis,Incertae familiae,Elasmobranchii,Euselachii,Elasmobranchii,N,Y,Carboniferous,Visean,346.7,Serpukhovian,323.2,N,Abden Bone Bed,Europe,X,X,X,X,N,1,1,0,0,0,0,0,N,N,N,4.794526448996048,1.0459651634348481
Ace Hill Quarry,-95.8,41,298.61,Bobbodus,schaefferi,Eugeneodontiformes,Eugeneodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,C - P,Gzhelian,303.7,Asselian,293.52,Y,Lecompton,North America,X,X,X,X,N,0,0,0,0,0,1,1,N,N,N,-24.767953418098237,4.0351799780506905
Ace Hill Quarry,-95.8,41,301.3,Holmesella,sp.,Incerti ordinis,Incertae familiae,?,NA,NA,,N,Carboniferous,Gzhelian,303.7,Gzhelian,298.9,Y,Lecompton,North America,X,X,X,X,N,0,0,0,0,0,1,1,N,N,N,-25.0683227426443,3.486344306232774
Ace Hill Quarry,41,-95.8,301.3,Inioxyele,whitei,Iniopterygia,Sibyrhynchidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Gzhelian,303.7,Gzhelian,298.9,N,Lecompton,North America,X,X,X,X,N,0,0,0,0,0,1,1,N,N,N,NA,NA
Achanarras,-3.5,58.5,376.1,Diplacanthus,sp.,Diplacanthiformes,Diplacanthidae,Stem,NA,NA,N,Y,Devonian,Eifelian,393.3,Famennian,358.9,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-30.105301281136136,-18.103589260462083
Achanarras,-3.5,58.5,388,Cheiracanthus,grandispinus,Acanthodiiformes,Cheiracanthidae,Stem,NA,NA,N,N,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.95199676752242,-17.551845159165588
Achanarras,-3.5,58.5,388,Mesacanthus,peachi,Acanthodiiformes,Mesacanthidae,Stem,NA,NA,N,Y,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.95199676752242,-17.551845159165588
Achanarras,-3.5,58.5,388,Diplacanthus,crassisimus,Diplacanthiformes,Diplacanthidae,Stem,NA,NA,N,N,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.95199676752242,-17.551845159165588
Achanarras,-3.5,58.5,388,Cheiracanthus,murchisoni,Acanthodiiformes,Cheiracanthidae,Stem,NA,NA,N,Y,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.95199676752242,-17.551845159165588
Achanarras,-3.5,58.5,388,Diplacanthus,tenuistriatus,Diplacanthiformes,Diplacanthidae,Stem,NA,NA,N,Y,Devonian,Eifelian,393.3,Givetian,382.7,N,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,0,0,0,0,0,N,N,NA,-34.95199676752242,-17.551845159165588
Achanarras,-3.5,58.5,402.85,Ischnacanthus,sp.,Ischnacanthiformes,Ischnacanthidae,Stem,NA,NA,N,N,S - D,Eifelian,393.3,Givetian,388,Y,Middle Old Red Sandstone,Europe,X,X,X,X,N,1,1,0,1,0,0,0,N,N,NA,-42.64122471868844,-22.203409929019323
Achanarras,-3.5,58.5,405.05,Rhadinacanthus (Diplacanthus),longispinus,Diplacanthiformes,Diplacanthidae,Stem,NA,NA,N,Y,S - D,Gorstian,427.4,Givetian,382.7,NA,Middle Old Red Sandstone,Europe,X,X,X,,N,1,0,1,0,0,0,0,N,N,NA,-42.459626459636674,-21.410379712777036
Adams County,-94.7,41,314.9,Chomatodus,arcuatus,Petalodontiformes,Petalodontidae,Holocephali,Euchondrocephali,Euchondrocephali,N,N,Carboniferous,Serpukhovian,330.9,Gzhelian,298.9,N,,North America,Europe,X,X,X,N,NA,NA,NA,NA,NA,NA,NA,N,N,Y,-25.15696316525124,0.7725025944002305
Adhiriyah,40.1,30.2,388,Antarctilamna,sp.,Antarctilamniformes,Antarctilamnidae,Stem,NA,Elasmobranchii,N,N,Devonian,Eifelian,393.3,Givetian,382.7,N,Jubah Sandstone,Asia,X,X,X,X,N,1,0,0,0,0,0,0,N,N,Y,46.500217390666215,-47.18567576062103
Airdrie,-4,55.9,328.9,Gyracanthus ,formosus,Incerti_ordinis,Gyracanthidae,Stem,NA,NA,N,Y,Carboniferous,Tournaisian,358.9,Gzhelian,298.9,?,Coal Measures,Europe,X,X,X,X,N,1,0,0,0,0,0,0,N,Y,NA,9.720476026585768,3.8727744010703185
