"interval_name","mid_ma","count_taxa","count_colls","count_formations"
"Darriwilian",462.85,1,1,1
"Sandbian",455.7,3,2,2
"Katian",449.1,NA,NA,NA
"Hirnantian",444.5,NA,NA,NA
"Rhuddanian",442.3,3,6,6
"Aeronian",439.65,8,12,12
"Telychian",435.95,17,21,17
"Sheinwoodian",431.95,13,21,19
"Homerian",428.95,9,16,16
"Gorstian",426.5,15,50,32
"Ludfordian",424.3,16,57,35
"Pridoli",421.1,29,100,55
"Lochkovian",415,85,159,75
"Pragian",409.2,44,119,76
"Emsian",400.45,63,129,74
"Eifelian",390.5,38,120,59
"Givetian",385.2,43,104,46
"Frasnian",377.45,43,81,37
"Famennian",365.55,51,133,64
"Tournaisian",352.8,81,237,92
"Visean",338.8,105,293,102
"Serpukhovian",327.05,89,245,105
"Bashkirian",319.2,65,254,106
"Moscovian",311.1,93,283,104
"Kasimovian",305.35,60,249,100
"Gzhelian",301.3,70,263,105
"Asselian",296.21,25,123,60
"Sakmarian",291.81,28,106,55
"Artinskian",286.8,33,115,60
"Kungurian",278.255,32,102,56
"Roadian",269.955,41,109,59
"Wordian",265.59,17,58,28
"Capitanian",261.895,15,57,27
"Wuchiapingian",256.825,25,67,32
"Changhsingian",253.021,15,54,26
